Date,Type,Treatment,Replicate,Replicate_color,Temperature_bucket_C,Salinity,DO_mg_l,Temperature_spec_C,TA_(mmol/kgSW),TCO2_(mmol/kgSW),pH,pH_out_TA_DIC,fCO2_out_(matm)_TA_DIC,pCO2_out_(matm)_TA_DIC,HCO3_out_(mmol/kgSW)_TA_DIC,CO3_out_(mmol/kgSW)_TA_DIC,CO2_out_(mmol/kgSW)_TA_DIC,B_Alk_out_(mmol/kgSW)_TA_DIC,OH_out_(mmol/kgSW)_TA_DIC,P_Alk_out_(mmol/kgSW)_TA_DIC,Si_Alk_out_(mmol/kgSW)_TA_DIC,Revelle_out_TA_DIC,WCa_out_TA_DIC,WAr_out_TA_DIC,xCO2_out_(dry_at_1_atm)_(ppm)_TA_DIC,_,pH_out_TA_pH,fCO2_out_(matm)_TA_pH,pCO2_out_(matm)_TA_pH,HCO3_out_(mmol/kgSW)_TA_pH,CO3_out_(mmol/kgSW)_TA_pH,CO2_out_(mmol/kgSW)_TA_pH,B_Alk_out_(mmol/kgSW)_TA_pH,OH_out_(mmol/kgSW)_TA_pH,P_Alk_out_(mmol/kgSW)_TA_pH,Si_Alk_out_(mmol/kgSW)_TA_pH,Revelle_out_TA_pH,WCa_out_TA_pH,WAr_out_TA_pH,xCO2_out_(dry_at_1_atm)_(ppm)_TA_pH,_,pH_out_DIC_pH,fCO2_out_(matm)_DIC_pH,pCO2_out_(matm)_DIC_pH,HCO3_out_(mmol/kgSW)_DIC_pH,CO3_out_(mmol/kgSW)_DIC_pH,CO2_out_(mmol/kgSW)_DIC_pH,B_Alk_out_(mmol/kgSW)_DIC_pH,OH_out_(mmol/kgSW)_DIC_pH,P_Alk_out_(mmol/kgSW)_DIC_pH,Si_Alk_out_(mmol/kgSW)_DIC_pH,Revelle_out_DIC_pH,WCa_out_DIC_pH,WAr_out_DIC_pH,xCO2_out_(dry_at_1_atm)_(ppm)_DIC_pH
1/14/2023,Adults,8,A,Green,7.9,27.33,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,8,B,Green,7.9,27.32,11.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,8,C,Green,7.9,27.33,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,8,D,Green,7.9,27.04,11.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,7,A,Green/purple,7.9,27.34,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,7,B,Green/purple,7.9,27.33,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,7,C,Green/purple,7.9,27.25,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2023,Adults,7,D,Green/purple,7.9,27.3,10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,7.5,A,,7.8,26.82,11.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,7.5,B,,7.9,26.82,11.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,7.5,C,,7.7,26.79,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,7.5,D,,7.8,26.35,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,8,A,Green,7.9,26.96,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,8,B,Green,7.9,25.86,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,8,C,Green,7.9,26.01,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,8,D,Green,7.8,26.78,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,7,A,Green/purple,7.9,26.86,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,7,B,Green/purple,8,27.82,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,7,C,Green/purple,7.9,26.84,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2023,Adults,7,D,Green/purple,7.9,26.42,10.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2023,Adults,7.5,A,,10.3,27.62,10.49,23.1,,1913.94,7.7351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.923,493.6,495.5,1812,79.6,22.4,39.1,1.1,0,0,15.925,1.97,1.23,501.6
1/17/2023,Adults,7.5,B,,10.4,27.67,10.42,23.09,,1920.33,7.7323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.918,500.8,502.7,1818.3,79.4,22.6,38.9,1.1,0,0,15.965,1.97,1.23,508.9
1/17/2023,Adults,7.5,C,,10.2,27.59,10.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2023,Adults,7.5,D,,10.3,27.64,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2023,Adults,8,A,Green,10.5,27.88,10.25,23.06,,1882.55,7.8228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.011,393.3,394.8,1768.4,96.5,17.7,47.5,1.4,0,0,14.329,2.39,1.49,399.7
1/17/2023,Adults,8,B,Green,10.4,27.32,10.74,22.55,,1889.28,7.8231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.005,401.8,403.4,1777.2,93.9,18.2,45.5,1.4,0,0,14.638,2.33,1.45,408.4
1/17/2023,Adults,8,C,Green,10.4,27.39,10.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2023,Adults,8,D,Green,10.4,27.7,10.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2023,Adults,7,A,Green/purple,10.5,27.71,10.28,23,,1953.95,7.6168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.793,683.6,686.3,1861.8,61.4,30.8,30.3,0.8,0,0,17.77,1.52,0.95,694.8
1/17/2023,Adults,7,B,Green/purple,10.4,27.76,10.21,22.76,,1947.86,7.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.818,642.7,645.2,1854.4,64.5,29,31.8,0.9,0,0,17.466,1.6,1,653.2
1/17/2023,Adults,7,C,Green/purple,10.5,27.63,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2023,Adults,7,D,Green/purple,10.5,27.49,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,7.5,A,,11.8,27.68,10.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,7.5,B,,11.8,27.67,10.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,7.5,C,,11.7,27.54,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,7.5,D,,11.7,26.06,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,8,A,Green,11.7,27.7,10.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,8,B,Green,11.7,27.7,10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,8,C,Green,11.7,27.89,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,8,D,Green,11.7,27.59,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,7,A,Green/purple,11.7,27.64,10.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,7,B,Green/purple,11.7,27.65,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,7,C,Green/purple,11.8,27.6,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2023,Adults,7,D,Green/purple,11.7,27.62,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,7.5,A,,10.9,27.54,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,7.5,B,,10.9,27.58,10.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,7.5,C,,10.9,27.59,10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,7.5,D,,11,27.48,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,8,A,Green,11,27.57,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,8,B,Green,11,27.53,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,8,C,Green,11,27.53,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,8,D,Green,11,27.49,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,7,A,Green/purple,11,27.54,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,7,B,Green/purple,11,27.41,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,7,C,Green/purple,10.9,27.41,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2023,Adults,7,D,Green/purple,10.9,27.41,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2023,Adults,7.5,A,,13.2,27.06,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2023,Adults,7.5,B,,13.2,27.06,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2023,Adults,7.5,C,,13.1,27.1,10.04,22.98,,181.58,7.7607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.897,50.8,51,171.7,7.8,2.1,38.8,1.4,0,0,5.224,0.2,0.12,51.8
1/20/2023,Adults,7.5,D,,13.1,27.06,10.05,22.97,,1876.86,7.7629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.907,512.5,514.4,1773,82.6,21.3,39.5,1.4,0,0,15.481,2.06,1.29,522.1
1/20/2023,Adults,8,A,Green,13.1,27.11,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2023,Adults,8,B,Green,13.1,27.12,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2023,Adults,8,C,Green,13.2,27.07,9.61,22.99,,1860.92,7.8047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.949,459.9,461.6,1751.6,90.3,19,43.1,1.6,0,0,14.757,2.25,1.41,468.5
1/20/2023,Adults,8,D,Green,13.1,27.12,10.01,22.94,,1859.95,7.8186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.965,442.9,444.5,1748.5,93.1,18.4,44.5,1.6,0,0,14.53,2.32,1.45,451.1
1/20/2023,Adults,7,A,Green/purple,13.2,26.97,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2023,Adults,7,B,Green/purple,13.1,26.98,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2023,Adults,7,C,Green/purple,13.1,27.02,9.69,22.98,,1911.53,7.6346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.773,716.1,718.8,1819.6,62.2,29.8,29.9,1,0,0,17.509,1.55,0.97,729.4
1/20/2023,Adults,7,D,Green/purple,13.2,27,9.68,23.02,,1915.79,7.6359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.774,717.4,720.1,1823.5,62.6,29.7,30,1,0,0,17.492,1.56,0.98,730.9
1/21/2023,Adults,7.5,A,,12.9,27.15,10.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,7.5,B,,12.8,27.22,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,7.5,C,,12.8,27.23,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,7.5,D,,12.8,27.25,10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,8,A,Green,12.9,27.26,10.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,8,B,Green,12.8,27.22,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,8,C,Green,12.9,27.15,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,8,D,Green,12.8,27.11,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,7,A,Green/purple,12.9,27.22,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,7,B,Green/purple,12.9,27.22,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,7,C,Green/purple,12.9,27.23,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2023,Adults,7,D,Green/purple,12.9,26.88,9.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,7.5,A,,12.8,26.96,10.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,7.5,B,,12.8,26.74,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,7.5,C,,12.7,26.13,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,7.5,D,,12.8,26.91,10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,8,A,Green,12.8,26.97,9.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,8,B,Green,12.7,26.88,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,8,C,Green,12.8,26.99,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,8,D,Green,12.8,26.79,10.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,7,A,Green/purple,12.8,26.6,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,7,B,Green/purple,12.8,26.97,10.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,7,C,Green/purple,12.8,26.64,10.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2023,Adults,7,D,Green/purple,12.8,26.92,10.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2023,Adults,7.5,A,,13.9,26.53,9.77,23.04,1881.73,1848.58,7.7603,7.654,921.9,925.3,1764.5,46.7,37.5,23.1,0.8,0,0,18.531,1.17,0.73,939.8,,7.893,508.4,510.3,1687.4,77.4,20.7,38.1,1.5,0,0,15.455,1.94,1.21,518.3,,7.894,526.3,528.2,1747.1,80.1,21.4,38.1,1.5,0,0,15.587,2.01,1.26,536.5
1/23/2023,Adults,7.5,B,,13.9,26.23,9.87,23.14,1877.68,1848.45,7.7605,7.642,950.9,954.4,1764.8,45,38.7,22.2,0.8,0,0,18.689,1.13,0.71,969.3,,7.895,506.8,508.7,1684.8,76.9,20.6,37.7,1.5,0,0,15.523,1.93,1.21,516.7,,7.895,525.5,527.4,1747.3,79.8,21.4,37.7,1.5,0,0,15.662,2,1.25,535.7
1/23/2023,Adults,7.5,C,,13.8,26.2,10.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2023,Adults,7.5,D,,13.8,26.52,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2023,Adults,8,A,Green,13.9,26.63,9.47,23.07,1878.32,1815.49,7.8442,7.771,689.2,691.7,1727.5,60,28,29.8,1.1,0,0,17.255,1.5,0.94,702.6,,7.98,405.5,407,1645.9,92.5,16.5,45.7,1.8,0,0,14.006,2.32,1.45,413.4,,7.981,419.4,421,1702.7,95.7,17,45.7,1.8,0,0,14.127,2.4,1.5,427.6
1/23/2023,Adults,8,B,Green,13.8,26.68,9.63,23.07,1868.88,1815.3,7.8497,7.737,746.4,749.1,1729.6,55.3,30.4,27.7,1,0,0,17.683,1.39,0.87,760.8,,7.988,395.7,397.2,1634.5,93.1,16.1,46.3,1.8,0,0,13.884,2.33,1.46,403.4,,7.988,411.8,413.3,1701.5,97,16.8,46.3,1.8,0,0,14.027,2.43,1.52,419.8
1/23/2023,Adults,8,C,Green,13.8,26.63,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2023,Adults,8,D,Green,13.8,26.62,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2023,Adults,7,A,Green/purple,13.9,26.55,9.83,23.03,1878.99,1885.23,7.6314,7.49,1369.1,1374.1,1797,32.6,55.6,16.2,0.6,0,0,18.679,0.82,0.51,1395.6,,7.759,711.2,713.8,1732.4,58.3,28.9,28.9,1.1,0,0,17.443,1.46,0.91,725,,7.759,736.7,739.5,1794.9,60.4,29.9,28.9,1.1,0,0,17.582,1.52,0.95,751
1/23/2023,Adults,7,B,Green/purple,13.9,26.57,9.75,22.99,1867.71,1880.14,7.6591,7.464,1449.3,1454.6,1790.7,30.6,58.9,15.3,0.5,0,0,18.486,0.77,0.48,1477.4,,7.787,658.5,660.9,1712.7,61.6,26.7,30.7,1.1,0,0,17.03,1.54,0.97,671.3,,7.788,687.3,689.8,1787.9,64.3,27.9,30.7,1.1,0,0,17.199,1.61,1.01,700.6
1/23/2023,Adults,7,C,Green/purple,13.9,26.59,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2023,Adults,7,D,Green/purple,13.9,26.64,9.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,7.5,A,,15.5,26.12,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,7.5,B,,15.4,26.14,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,7.5,C,,15.5,26.21,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,7.5,D,,15.5,26.26,9.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,8,A,Green,15.5,26.27,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,8,B,Green,15.5,26.11,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,8,C,Green,15.5,26.14,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,8,D,Green,15.4,26.23,9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,7,A,Green/purple,15.5,26.2,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,7,B,Green/purple,15.5,26.11,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,7,C,Green/purple,15.5,26.02,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2023,Adults,7,D,Green/purple,15.5,25.97,9.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2023,Adults,7.5,A,,14.8,26.97,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2023,Adults,7.5,B,,14.7,27.06,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2023,Adults,7.5,C,,14.7,26.95,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2023,Adults,7.5,D,,14.7,26.94,11.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
