Date_sampled,pH,Tank_Replicate,pH_Replicate,Shell_length_mm,New_tin_ID,Shell_Tin_ID,Shell_Tin_Weight_g,Dry_Shell_Tin_Weight_g,Dry_Shell_weight_g,Tissue_Tin_ID,Tissue_Tin_Weight_g,Dry_Tissue_Tin_Weight_g,Dry_Tissue_weight_g,Gonad_Tin_ID,Gonad_stage,Gonad_Tin_Weight_g,Dry_Gonad_Tin_Weight_g,Dry_Gonad_weight_g,Gonad_Index_Gonad:Soma,Whole_animal_dry_weight_g,Condition_index_drywtRatio_Walne1976,Shell_ash_weight_g_with_tin,Tissue_ash_weight_with_g_tin,Gonad_ash_weight_g_with_tin,Total_ash_weight_g_with_tin,TotalAFDW_g,Condition_index_TotalADFW_div_length,notes,,,,,About data...,,
9/14/2021,7.5,C,7.5_C,2.15083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000646,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,(3) 'Whole_animal_dry_weight_g',,
9/14/2021,7.5,D,7.5_D,1.91671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000575,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,adult samples before 3/28/22,
9/14/2021,8,A,8_A,1.73749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,#NAME?
9/14/2021,8,B,8_B,2.70979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,adult samples talen 3/16/22 and after,
9/14/2021,8,C,8_C,2.28173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,, - gonad and tissue samples separated for drying + ashing
9/14/2021,8,D,8_D,2.69297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000982,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,#NAME?
9/14/2021,8,A,8_A,2.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001765,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,8,B,8_B,2.10965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003326,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,8,C,8_C,2.45271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004008,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,8,D,8_D,3.49129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000619,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,8,A,8_A,1.97436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000556,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,8,B,8_B,2.13934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000718,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,8,C,8_C,1.79606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00037,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/14/2021,8,D,8_D,2.96972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001944,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,A,7.5_A,3.74003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004447,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,B,7.5_B,3.56109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00331,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,C,7.5_C,3.40603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002443,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,D,7.5_D,3.23679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001862,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,A,7.5_A,2.53563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000701,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,B,7.5_B,2.71797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001384,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,C,7.5_C,3.91636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004153,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,D,7.5_D,3.90023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004805,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,A,7.5_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003817,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,B,7.5_B,2.73468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001652,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,C,7.5_C,2.64679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001122,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,D,7.5_D,4.07455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004863,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,A,7.5_A,3.82627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004107,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,B,7.5_B,4.47419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006821,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,C,7.5_C,5.21802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011898,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,D,7.5_D,3.66137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003718,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,A,7.5_A,5.20282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011981,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,B,7.5_B,3.97107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004345,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,C,7.5_C,3.42545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002781,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,7.5,D,7.5_D,5.31122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011096,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,A,8_A,3.72656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003777,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,B,8_B,4.27799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005198,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,C,8_C,3.0219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000602,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,D,8_D,5.54594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013734,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,A,8_A,3.83344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004283,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,B,8_B,5.08403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011496,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,C,8_C,2.99494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00179,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,D,8_D,3.10214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002123,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,A,8_A,5.08044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011619,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,B,8_B,4.72511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00779,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,C,8_C,3.5286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004149,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,D,8_D,3.35375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003027,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,A,8_A,2.56909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001218,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,B,8_B,4.93921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009948,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,C,8_C,3.00854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001894,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,D,8_D,4.13083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004762,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,A,8_A,4.5324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007887,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,B,8_B,3.84153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004529,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,C,8_C,2.29139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000801,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
9/30/2021,8,D,8_D,3.56903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004801,NA,NA,NA,NA,NA,NA,NA,"too small to dissect, only whole animal dry weights",,,,,,,
10/26/2021,8,A,8_A,13.28,NA,NA,0.4112,0.5637,0.1525,NA,0.4072,0.4191,0.0119,NA,NA,NA,NA,NA,NA,0.1644,7.803278689,NA,NA,NA,0.5596,0.012,0.903614458,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,9.47,NA,NA,0.4139,0.4746,0.0607,NA,0.4114,0.4166,0.0052,NA,NA,NA,NA,NA,NA,0.0659,8.566721582,NA,NA,NA,0.472,0.0053,0.559662091,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,13.01,NA,NA,0.41,0.5543,0.1443,NA,0.4106,0.4209,0.0103,NA,NA,NA,NA,NA,NA,0.1546,7.137907138,NA,NA,NA,0.5543,0.0109,0.837817064,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,9.85,NA,NA,0.416,0.4839,0.0679,NA,0.4075,0.4136,0.0061,NA,NA,NA,NA,NA,NA,0.074,8.983799705,NA,NA,NA,0.4757,0.0058,0.588832487,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,12.64,NA,NA,0.4125,0.5326,0.1201,NA,0.4115,0.4242,0.0127,NA,NA,NA,NA,NA,NA,0.1328,10.57452123,NA,NA,NA,0.5328,0.0115,0.909810127,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,11.76,NA,NA,0.4094,0.516,0.1066,NA,0.407,0.4173,0.0103,NA,NA,NA,NA,NA,NA,0.1169,9.662288931,NA,NA,NA,0.5156,0.0083,0.705782313,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,7.45,NA,NA,0.411,0.4371,0.0261,NA,0.4086,0.4111,0.0025,NA,NA,NA,NA,NA,NA,0.0286,9.578544061,NA,NA,NA,0.435,0.0022,0.295302013,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,6.92,NA,NA,0.4082,0.4338,0.0256,NA,0.4089,0.4113,0.0024,NA,NA,NA,NA,NA,NA,0.028,9.375,NA,NA,NA,0.4351,0.0018,0.260115607,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,9.99,NA,6A2,0.4188,0.4868,0.068,6A1,0.4162,0.4227,0.0065,NA,NA,NA,NA,NA,NA,0.0745,9.558823529,NA,NA,NA,0.4855,0.0052,0.520520521,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,7.19,NA,6A4,0.4233,0.4482,0.0249,6A3,0.4155,0.41779,0.00229,NA,NA,NA,NA,NA,NA,0.02719,9.196787149,NA,NA,NA,0.4403,0.00239,0.33240612,used for dry weights and condition only,,,,,,,
10/26/2021,8,A,8_A,4.39,NA,6A6,0.4161,0.4215,0.0054,6A5,0.4076,0.4081,0.0005,NA,NA,NA,NA,NA,NA,0.0059,9.259259259,NA,NA,NA,0.412,0.0015,0.341685649,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,13.21,NA,6A8,0.4113,0.5631,0.1518,6A7,0.41,0.4257,0.0157,NA,NA,NA,NA,NA,NA,0.1675,10.34255599,NA,NA,NA,0.5691,0.0084,0.635881908,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,9.19,NA,6A10,0.4126,0.4568,0.0442,6A9,0.4102,0.4142,0.004,NA,NA,NA,NA,NA,NA,0.0482,9.049773756,NA,NA,NA,0.4559,0.0025,0.272034821,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,8.56,NA,6A12,0.4104,0.4578,0.0474,6A11,0.4162,0.4212,0.005,NA,NA,NA,NA,NA,NA,0.0524,10.54852321,NA,NA,NA,0.4652,0.0034,0.397196262,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,5.86,NA,6B4,0.4129,0.4245,0.0116,6B3,0.4151,0.4159,0.0008,NA,NA,NA,NA,NA,NA,0.0124,6.896551724,NA,NA,NA,0.4275,0,0,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,5.77,NA,6B6,0.4123,0.4239,0.0116,6B5,0.4114,0.4121,0.0007,NA,NA,NA,NA,NA,NA,0.0123,6.034482759,NA,NA,NA,0.4227,0.001,0.173310225,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,6.04,NA,6B8,0.4171,0.4235,0.0064,6B7,0.4101,0.4113,0.0012,NA,NA,NA,NA,NA,NA,0.0076,18.75,NA,NA,NA,0.4216,-0.0039,-0.645695364,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,11.08,NA,6B10,0.4195,0.5112,0.0917,6B9,0.419,0.4276,0.0086,NA,NA,NA,NA,NA,NA,0.1003,9.378407852,NA,NA,NA,0.5142,0.0051,0.460288809,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,5.73,NA,6B12,0.4163,0.4285,0.0122,6B11,0.4188,0.4203,0.0015,NA,NA,NA,NA,NA,NA,0.0137,12.29508197,NA,NA,NA,0.431,0.0015,0.261780105,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,8.68,NA,6C2,0.4137,0.4521,0.0384,6C1,0.414,0.4179,0.0039,NA,NA,NA,NA,NA,NA,0.0423,10.15625,NA,NA,NA,0.4536,0.0027,0.311059908,used for dry weights and condition only,,,,,,,
10/26/2021,8,B,8_B,12.5,NA,6B2,0.4107,0.5398,0.1291,6B1,0.4186,0.433,0.0144,NA,NA,NA,NA,NA,NA,0.1435,11.15414407,NA,NA,NA,0.5527,0.0094,0.752,used for dry weights and condition only,,,,,,,
10/26/2021,8,C,8_C,14.7,NA,6C4,0.4114,0.5822,0.1708,6C3,0.414,0.4337,0.0197,NA,NA,NA,NA,NA,NA,0.1905,11.53395785,NA,NA,NA,0.591,0.0135,0.918367347,used for dry weights and condition only,,,,,,,
10/26/2021,8,C,8_C,13.42,NA,6C6,0.4089,0.5808,0.1719,6C5,0.4156,0.4331,0.0175,NA,NA,NA,NA,NA,NA,0.1894,10.18033741,NA,NA,NA,0.5844,0.0206,1.535022355,used for dry weights and condition only,,,,,,,
10/26/2021,8,C,8_C,11.69,NA,6C8,0.4153,0.5229,0.1076,6C7,0.4187,0.4301,0.0114,NA,NA,NA,NA,NA,NA,0.119,10.59479554,NA,NA,NA,0.5352,0.0025,0.213857998,used for dry weights and condition only,,,,,,,
10/26/2021,8,C,8_C,4.59,NA,6C10,0.4156,0.4224,0.0068,6C9,0.4158,0.4165,0.0007,NA,NA,NA,NA,NA,NA,0.0075,10.29411765,NA,NA,NA,0.422,0.0013,0.283224401,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,11.66,NA,5C8,0.42,0.524,0.104,5C7,0.4174,0.4293,0.0119,NA,NA,NA,NA,NA,NA,0.1159,11.44230769,NA,NA,NA,0.5241,0.0092,0.789022299,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,11.75,NA,5C10,0.4192,0.5272,0.108,5C9,0.4159,0.4281,0.0122,NA,NA,NA,NA,NA,NA,0.1202,11.2962963,NA,NA,NA,0.5258,0.0103,0.876595745,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,8.84,NA,5C12,0.418,0.4612,0.0432,5C11,0.4217,0.4259,0.0042,NA,NA,NA,NA,NA,NA,0.0474,9.722222222,NA,NA,NA,0.4652,0.0039,0.441176471,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,8.05,NA,5B2,0.4126,0.4507,0.0381,5B1,0.4078,0.4113,0.0035,NA,NA,NA,NA,NA,NA,0.0416,9.186351706,NA,NA,NA,0.4459,0.0035,0.434782609,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,7.76,NA,5B4,0.4107,0.4404,0.0297,5B3,0.4157,0.416,0.0003,NA,NA,NA,NA,NA,NA,0.03,1.01010101,NA,NA,NA,0.4442,0.0015,0.193298969,no tissue?,,,,,,,
10/26/2021,8,D,8_D,7.75,NA,5A10,0.4147,0.4445,0.0298,5A9,0.4129,0.4159,0.003,NA,NA,NA,NA,NA,NA,0.0328,10.06711409,NA,NA,NA,0.4426,0.0031,0.4,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,7.02,NA,5A12,0.4135,0.4366,0.0231,5A11,0.4154,0.4175,0.0021,NA,NA,NA,NA,NA,NA,0.0252,9.090909091,NA,NA,NA,0.4379,0.0027,0.384615385,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,7.13,NA,5C2,0.4116,0.4347,0.0231,5C1,0.4113,0.4134,0.0021,NA,NA,NA,NA,NA,NA,0.0252,9.090909091,NA,NA,NA,0.4342,0.0023,0.322580645,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,7.52,NA,5C4,0.4187,0.428,0.0093,5C3,0.4214,0.422,0.0006,NA,NA,NA,NA,NA,NA,0.0099,6.451612903,NA,NA,NA,0.4307,0.0006,0.079787234,used for dry weights and condition only,,,,,,,
10/26/2021,8,D,8_D,4.49,NA,5C6,0.4222,0.428,0.0058,5C5,0.4195,0.4203,0.0008,NA,NA,NA,NA,NA,NA,0.0066,13.79310345,NA,NA,NA,0.4256,0.0005,0.111358575,used for dry weights and condition only,,,,,,,
10/26/2021,7.5,A,7.5_A,7.58,NA,5C4,0.4177,0.4437,0.026,5C3,0.4118,0.4146,0.0028,NA,NA,NA,NA,NA,NA,0.0288,10.76923077,NA,NA,NA,0.4378,0.0028,0.36939314,used for dry weights and condition only,,,,,,,
10/26/2021,7.5,A,7.5_A,10.75,NA,5C6,0.4147,0.4972,0.0825,5C5,0.4126,0.4207,0.0081,NA,NA,NA,NA,NA,NA,0.0906,9.818181818,NA,NA,NA,0.4963,0.0069,0.641860465,used for dry weights and condition only,,,,,,,
10/26/2021,7.5,A,7.5_A,7.09,NA,5C8,0.41,0.4331,0.0231,5C7,0.4112,0.4126,0.0014,NA,NA,NA,NA,NA,NA,0.0245,6.060606061,NA,NA,NA,0.434,0.0017,0.23977433,used for dry weights and condition only,,,,,,,
10/26/2021,7.5,A,7.5_A,6.98,NA,5C10,0.4171,0.4366,0.0195,5C9,0.416,0.4195,0.0035,NA,NA,NA,NA,NA,NA,0.023,17.94871795,NA,NA,NA,0.4356,0.0034,0.487106017,used for dry weights and condition only,,,,,,,
10/26/2021,7.5,A,7.5_A,11.54,NA,5C12,0.4143,0.5162,0.1019,5C11,0.412,0.4211,0.0091,NA,NA,NA,NA,NA,NA,0.111,8.930323847,NA,NA,NA,0.5134,0.0096,0.831889082,used for dry weights and condition only,,,,,,,
10/26/2021,7.5,A,7.5_A,6.6,NA,5B6,0.4142,0.4325,0.0183,5B5,0.4156,0.4175,0.0019,NA,NA,NA,NA,NA,NA,0.0202,10.38251366,NA,NA,NA,0.434,0.0018,0.272727273,used for dry weights and condition only,,,,,,,
10/26/2021,7.5,A,7.5_A,6.85,NA,5B8,0.412,0.4324,0.0204,5B7,0.4141,0.4163,0.0022,NA,NA,NA,NA,NA,NA,0.0226,10.78431373,NA,NA,NA,0.4344,0.0023,0.335766423,used for dry weights and condition only,,,,,,,
