"","Date","pH","Replicate","Number","Run","ExcretionRate_ug_mL_hr","ExcretionRate_umol_mL_hr","Chamber_tank","Biovolume_g_in_sw","Length_um","Dry_Shell_weight","Dry_Tissue_weight","whole_Dry_weight","ExcretionRate_umol_mL_hr_TDWbfactor","pCO2"
"76",20221026,7.5,"C",1,2,228.8717011,16.34797865,"7.5_C",26.9,51740,"<add here>","1.8877","<add here>",5.55378068878218,"800 μatm"
"77",20221026,7.5,"D",1,2,296.5999031,21.18570736,"7.5_D",24.7,50040,"<add here>","1.7971","<add here>",7.4787497943679,"800 μatm"
"78",20221026,7.5,"E",1,2,1037.552846,74.11091761,"7.5_E",23.9,49860,"<add here>","2.83","<add here>",18.3586674966251,"800 μatm"
"79",20221026,7.5,"F",1,2,47.61565659,3.401118328,"7.5_F",17.6,42580,"<add here>","1.4466","<add here>",1.42200894286882,"800 μatm"
"80",20221026,7.5,"G",1,2,333.9991966,23.85708547,"7.5_G",37.7,57870,"<add here>","0.8803","<add here>",14.6946018831191,"800 μatm"
"81",20221026,8,"A",1,1,41.45751527,2.96125109,"8_A",33,55980,"<add here>","2.0565","<add here>",0.940994797032467,"500 μatm"
"82",20221026,8,"C",1,1,103.3963155,7.385451107,"8_C",21.4,47160,"<add here>","1.1035","<add here>",3.81387969431507,"500 μatm"
"83",20221026,8,"D",1,1,315.7758827,22.5554202,"8_D",31.8,53930,"<add here>","2.131","<add here>",6.97121082270571,"500 μatm"
"84",20221026,8,"E",1,1,832.2904643,59.44931888,"8_E",18.5,43660,"<add here>","0.7993","<add here>",39.480770020409,"500 μatm"
"85",20221026,8,"F",1,1,31.9534291,2.282387793,"8_F",18.6,48110,"<add here>","1.0177","<add here>",1.25544704008186,"500 μatm"
"86",20221026,8,"G",1,1,152.4565559,10.88975399,"8_G",20.1,46790,"<add here>","1.3842","<add here>",4.71232629965103,"500 μatm"
