Date_sampled,pH,Tank_Replicate,n,Shell_length_mm,tin_ID,Tin_Weight_mg,shell_or_tissue,Dry_Sample_Tin_Weight_mg,Dry_Sample_Weight_mg,CI,Notes
10/26/2021,8,D,10,4.49,5C5,0.4195,tissue,0.4203,0.0008,13.79310345,extras for CI and regressions
10/26/2021,8,D,10,4.49,5C6,0.4222,shell,0.428,0.0058,NA,extras for CI and regressions
10/26/2021,7.5,A,1,7.58,5C3,0.4118,tissue,0.4146,0.0028,10.76923077,extras for CI and regressions
10/26/2021,7.5,A,1,7.58,5C4,0.4177,shell,0.4437,0.026,NA,extras for CI and regressions
10/26/2021,7.5,A,2,10.75,5C5,0.4126,tissue,0.4207,0.0081,9.818181818,extras for CI and regressions
10/26/2021,7.5,A,2,10.75,5C6,0.4147,shell,0.4972,0.0825,NA,extras for CI and regressions
10/26/2021,7.5,A,3,7.09,5C7,0.4112,tissue,0.4126,0.0014,6.060606061,extras for CI and regressions
10/26/2021,7.5,A,3,7.09,5C8,0.41,shell,0.4331,0.0231,NA,extras for CI and regressions
10/26/2021,7.5,A,4,6.98,5C9,0.416,tissue,0.4195,0.0035,17.94871795,extras for CI and regressions
10/26/2021,7.5,A,4,6.98,5C10,0.4171,shell,0.4366,0.0195,NA,extras for CI and regressions
10/26/2021,7.5,A,5,11.54,5C11,0.412,tissue,0.4211,0.0091,8.930323847,extras for CI and regressions
10/26/2021,7.5,A,5,11.54,5C12,0.4143,shell,0.5162,0.1019,NA,extras for CI and regressions
10/26/2021,7.5,A,6,6.6,5B5,0.4156,tissue,0.4175,0.0019,10.38251366,extras for CI and regressions
10/26/2021,7.5,A,6,6.6,5B6,0.4142,shell,0.4325,0.0183,NA,extras for CI and regressions
10/26/2021,7.5,A,7,6.85,5B7,0.4141,tissue,0.4163,0.0022,10.78431373,extras for CI and regressions
10/26/2021,7.5,A,7,6.85,5B8,0.412,shell,0.4324,0.0204,NA,extras for CI and regressions
10/26/2021,7.5,A,8,6.3,5B9,0.408,tissue,0.4096,0.0016,12.12121212,extras for CI and regressions
10/26/2021,7.5,A,8,6.3,5B10,0.4203,shell,0.4335,0.0132,NA,extras for CI and regressions
10/26/2021,7.5,A,9,6.81,5B11,0.4139,tissue,0.4157,0.0018,8.450704225,extras for CI and regressions
10/26/2021,7.5,A,9,6.81,5B12,0.4138,shell,0.4351,0.0213,NA,extras for CI and regressions
10/26/2021,7.5,A,10,5.6,5C1,0.4113,tissue,0.4139,0.0026,22.03389831,extras for CI and regressions
10/26/2021,7.5,A,10,5.6,5C2,0.4116,shell,0.4234,0.0118,NA,extras for CI and regressions
10/26/2021,7.5,B,1,5.92,4A9,0.4177,tissue,0.4195,0.0018,12.32876712,extras for CI and regressions
10/26/2021,7.5,B,1,5.92,4A10,0.4148,shell,0.4294,0.0146,NA,extras for CI and regressions
10/26/2021,7.5,B,2,9.44,4A11,0.4163,tissue,0.4219,0.0056,9.722222222,extras for CI and regressions
10/26/2021,7.5,B,2,9.44,4A12,0.4135,shell,0.4711,0.0576,NA,extras for CI and regressions
10/26/2021,7.5,B,3,5.24,4B1,0.4204,tissue,0.4213,0.0009,10.58823529,extras for CI and regressions
10/26/2021,7.5,B,3,5.24,4B2,0.412,shell,0.4205,0.0085,NA,extras for CI and regressions
10/26/2021,7.5,B,4,6.71,4B3,0.417,tissue,0.4194,0.0024,12.18274112,extras for CI and regressions
10/26/2021,7.5,B,4,6.71,4B4,0.4121,shell,0.4318,0.0197,NA,extras for CI and regressions
10/26/2021,7.5,B,5,6.32,4A1,0.41,tissue,0.4116,0.0016,9.638554217,extras for CI and regressions
10/26/2021,7.5,B,5,6.32,4A2,0.4144,shell,0.431,0.0166,NA,extras for CI and regressions
10/26/2021,7.5,B,6,7.19,4A3,0.4109,tissue,0.4137,0.0028,11.33603239,extras for CI and regressions
10/26/2021,7.5,B,6,7.19,4A4,0.4149,shell,0.4396,0.0247,NA,extras for CI and regressions
10/26/2021,7.5,B,7,5.76,4A5,0.4139,tissue,0.4148,0.0009,8.823529412,extras for CI and regressions
10/26/2021,7.5,B,7,5.76,4A6,0.4183,shell,0.4285,0.0102,NA,extras for CI and regressions
10/26/2021,7.5,B,8,4.96,4A7,0.4094,tissue,0.4105,0.0011,12.64367816,extras for CI and regressions
10/26/2021,7.5,B,8,4.96,4A8,0.4095,shell,0.4182,0.0087,NA,extras for CI and regressions
10/26/2021,7.5,C,1,7.15,4C3,0.4111,tissue,0.4143,0.0032,12.5,extras for CI and regressions
10/26/2021,7.5,C,1,7.15,4C4,0.416,shell,0.4416,0.0256,NA,extras for CI and regressions
10/26/2021,7.5,C,2,7.91,4C5,0.4165,tissue,0.4205,0.004,12.57861635,extras for CI and regressions
10/26/2021,7.5,C,2,7.91,4C6,0.4084,shell,0.4402,0.0318,NA,extras for CI and regressions
10/26/2021,7.5,C,3,7.08,4C7,0.4097,tissue,0.4125,0.0028,12.5,extras for CI and regressions
10/26/2021,7.5,C,3,7.08,4C8,0.4104,shell,0.4328,0.0224,NA,extras for CI and regressions
10/26/2021,7.5,C,4,6.06,4C9,0.4119,tissue,0.4138,0.0019,12.25806452,extras for CI and regressions
10/26/2021,7.5,C,4,6.06,4C10,0.4094,shell,0.4249,0.0155,NA,extras for CI and regressions
10/26/2021,7.5,C,5,5.8,4C11,0.4139,tissue,0.4155,0.0016,13.79310345,extras for CI and regressions
10/26/2021,7.5,C,5,5.8,4C12,0.4114,shell,0.423,0.0116,NA,extras for CI and regressions
10/26/2021,7.5,C,6,7.04,4B5,0.4144,tissue,0.4164,0.002,8.130081301,extras for CI and regressions
10/26/2021,7.5,C,6,7.04,4B6,0.4079,shell,0.4325,0.0246,NA,extras for CI and regressions
10/26/2021,7.5,C,7,7.25,4B7,0.4097,tissue,0.4124,0.0027,10.84337349,extras for CI and regressions
10/26/2021,7.5,C,7,7.25,4B8,0.4144,shell,0.4393,0.0249,NA,extras for CI and regressions
10/26/2021,7.5,C,8,7.98,4B9,0.4161,tissue,0.4202,0.0041,12.16617211,extras for CI and regressions
10/26/2021,7.5,C,8,7.98,4B10,0.4153,shell,0.449,0.0337,NA,extras for CI and regressions
10/26/2021,7.5,C,9,5.95,4B11,0.4179,tissue,0.4189,0.001,6.134969325,extras for CI and regressions
10/26/2021,7.5,C,9,5.95,4B12,0.4114,shell,0.4277,0.0163,NA,extras for CI and regressions
10/26/2021,7.5,C,10,5.97,4C1,0.4151,tissue,0.4172,0.0021,15.55555556,extras for CI and regressions
10/26/2021,7.5,C,10,5.97,4C2,0.4134,shell,0.4269,0.0135,NA,extras for CI and regressions
10/26/2021,7.5,D,1,4.6,4A11,0.4208,tissue,0.4219,0.0011,NA,"Shell fell apart, I thought I picked it all out, but unsure"
10/26/2021,7.5,D,1,4.6,4A12,0.4098,shell,0.4139,0.0041,NA,"Shell fell apart, I thought I picked it all out, but unsure"
10/26/2021,7.5,D,2,8.55,4B1,0.4201,tissue,0.4244,0.0043,9.347826087,extras for CI and regressions
10/26/2021,7.5,D,2,8.55,4B2,0.4096,shell,0.4556,0.046,NA,extras for CI and regressions
10/26/2021,7.5,D,3,8.1,4B3,0.4179,tissue,0.4223,0.0044,12.75362319,extras for CI and regressions
10/26/2021,7.5,D,3,8.1,4B4,0.4114,shell,0.4459,0.0345,NA,extras for CI and regressions
10/26/2021,7.5,D,4,5.43,4B5,0.4193,tissue,0.4204,0.0011,NA,May have lost a chip out of the shell 
10/26/2021,7.5,D,4,5.43,4B6,0.4093,shell,0.4209,0.0116,NA,May have lost a chip out of the shell 
10/26/2021,7.5,D,5,8.8,4B7,0.4135,tissue,0.419,0.0055,13.06413302,extras for CI and regressions
10/26/2021,7.5,D,5,8.8,4B8,0.4107,shell,0.4528,0.0421,NA,extras for CI and regressions
10/26/2021,7.5,D,6,7.64,4A1,0.4075,tissue,0.4112,0.0037,11.59874608,extras for CI and regressions
10/26/2021,7.5,D,6,7.64,4A2,0.4162,shell,0.4481,0.0319,NA,extras for CI and regressions
10/26/2021,7.5,D,7,6.17,4A3,0.4124,tissue,0.414,0.0016,10.1910828,extras for CI and regressions
10/26/2021,7.5,D,7,6.17,4A4,0.4135,shell,0.4292,0.0157,NA,extras for CI and regressions
10/26/2021,7.5,D,8,6.79,4A5,0.4104,tissue,0.4129,0.0025,10.46025105,extras for CI and regressions
10/26/2021,7.5,D,8,6.79,4A6,0.4168,shell,0.4407,0.0239,NA,extras for CI and regressions
10/26/2021,7.5,D,9,7.98,4A7,0.4113,tissue,0.4149,0.0036,10.40462428,extras for CI and regressions
10/26/2021,7.5,D,9,7.98,4A8,0.4126,shell,0.4472,0.0346,NA,extras for CI and regressions
10/26/2021,7.5,D,10,6.75,4A9,0.4154,tissue,0.4177,0.0023,12.3655914,extras for CI and regressions
10/26/2021,7.5,D,10,6.75,4A10,0.4102,shell,0.4288,0.0186,NA,extras for CI and regressions
10/26/2021,8,A,1,12.61,NA,NA,tissue,NA,0.0131,9.284195606,measurements from scallops used for RR and CR
10/26/2021,8,B,1,8.94,NA,NA,tissue,NA,0.0069,14.34511435,measurements from scallops used for RR and CR
10/26/2021,8,C,1,14.07,NA,NA,tissue,NA,0.0194,10.77777778,measurements from scallops used for RR and CR
10/26/2021,8,D,1,8.65,NA,NA,tissue,NA,0.0038,8.656036446,measurements from scallops used for RR and CR
10/26/2021,8,A,2,14.31,NA,NA,tissue,NA,0.016,9.280742459,measurements from scallops used for RR and CR
10/26/2021,8,B,2,11.61,NA,NA,tissue,NA,0.0132,15.60283688,measurements from scallops used for RR and CR
10/26/2021,8,C,2,12.53,NA,NA,tissue,NA,0.0143,10.7599699,measurements from scallops used for RR and CR
10/26/2021,8,D,2,11.4,NA,NA,tissue,NA,0.01,10.54852321,measurements from scallops used for RR and CR
10/26/2021,7.5,A,1,8.9,NA,NA,tissue,NA,0.0043,8.865979381,measurements from scallops used for RR and CR
10/26/2021,7.5,B,1,7.03,NA,NA,tissue,NA,0.003,11.27819549,measurements from scallops used for RR and CR
10/26/2021,7.5,C,1,7.4,NA,NA,tissue,NA,0.003,11.02941176,measurements from scallops used for RR and CR
10/26/2021,7.5,D,1,7.42,NA,NA,tissue,NA,0.0024,8.727272727,measurements from scallops used for RR and CR
10/26/2021,7.5,A,2,13.49,NA,NA,tissue,NA,0.0143,10.43034282,measurements from scallops used for RR and CR
10/26/2021,7.5,B,2,10.1,NA,NA,tissue,NA,0.0074,10.74020319,measurements from scallops used for RR and CR
10/26/2021,7.5,C,2,9.55,NA,NA,tissue,NA,0.0075,12.9982669,measurements from scallops used for RR and CR
10/26/2021,7.5,D,2,8.89,NA,NA,tissue,NA,0.0053,12.64916468,measurements from scallops used for RR and CR
10/26/2021,7.5,B,3,9.51,NA,NA,tissue,NA,0.0065,11.18760757,measurements from scallops used for RR and CR
10/26/2021,7.5,C,3,9.71,NA,NA,tissue,NA,0.0067,10.77170418,measurements from scallops used for RR and CR
10/26/2021,8,A,1,12.61,NA,NA,shell,NA,0.1411,NA,measurements from scallops used for RR and CR
10/26/2021,8,B,1,8.94,NA,NA,shell,NA,0.0481,NA,measurements from scallops used for RR and CR
10/26/2021,8,C,1,14.07,NA,NA,shell,NA,0.18,NA,measurements from scallops used for RR and CR
10/26/2021,8,D,1,8.65,NA,NA,shell,NA,0.0439,NA,measurements from scallops used for RR and CR
10/26/2021,8,A,2,14.31,NA,NA,shell,NA,0.1724,NA,measurements from scallops used for RR and CR
10/26/2021,8,B,2,11.61,NA,NA,shell,NA,0.0846,NA,measurements from scallops used for RR and CR
10/26/2021,8,C,2,12.53,NA,NA,shell,NA,0.1329,NA,measurements from scallops used for RR and CR
10/26/2021,8,D,2,11.4,NA,NA,shell,NA,0.0948,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,A,1,8.9,NA,NA,shell,NA,0.0485,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,B,1,7.03,NA,NA,shell,NA,0.0266,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,C,1,7.4,NA,NA,shell,NA,0.0272,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,D,1,7.42,NA,NA,shell,NA,0.0275,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,A,2,13.49,NA,NA,shell,NA,0.1371,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,B,2,10.1,NA,NA,shell,NA,0.0689,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,C,2,9.55,NA,NA,shell,NA,0.0577,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,D,2,8.89,NA,NA,shell,NA,0.0419,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,B,3,9.51,NA,NA,shell,NA,0.0581,NA,measurements from scallops used for RR and CR
10/26/2021,7.5,C,3,9.71,NA,NA,shell,NA,0.0622,NA,measurements from scallops used for RR and CR
