Date,Age_DPF,Treatment,Replicate,Length_mm,Length_um
9/21/2022,36,High OA,A,1.99,1990
9/21/2022,36,High OA,A,1.99,1990
9/21/2022,36,High OA,A,2.03,2030
9/21/2022,36,High OA,A,2.04,2040
9/21/2022,36,High OA,A,2.14,2140
9/21/2022,36,High OA,A,2.15,2150
9/21/2022,36,High OA,A,2.18,2180
9/21/2022,36,High OA,A,2.21,2210
9/21/2022,36,High OA,B,0.63,630
9/21/2022,36,High OA,B,1.07,1070
9/21/2022,36,High OA,B,1.29,1290
9/21/2022,36,High OA,B,1.32,1320
9/21/2022,36,High OA,B,1.33,1330
9/21/2022,36,High OA,B,1.36,1360
9/21/2022,36,High OA,B,1.39,1390
9/21/2022,36,High OA,B,1.44,1440
9/21/2022,36,High OA,B,1.44,1440
9/21/2022,36,High OA,B,1.46,1460
9/21/2022,36,High OA,B,1.47,1470
9/21/2022,36,High OA,B,1.48,1480
9/21/2022,36,High OA,B,1.49,1490
9/21/2022,36,High OA,B,1.52,1520
9/21/2022,36,High OA,B,1.53,1530
9/21/2022,36,High OA,B,1.54,1540
9/21/2022,36,High OA,B,1.57,1570
9/21/2022,36,High OA,B,1.6,1600
9/21/2022,36,High OA,B,1.6,1600
9/21/2022,36,High OA,B,1.62,1620
9/21/2022,36,High OA,B,1.62,1620
9/21/2022,36,High OA,B,1.65,1650
9/21/2022,36,High OA,B,1.66,1660
9/21/2022,36,High OA,B,1.69,1690
9/21/2022,36,High OA,B,1.69,1690
9/21/2022,36,High OA,B,1.7,1700
9/21/2022,36,High OA,B,1.7,1700
9/21/2022,36,High OA,B,1.72,1720
9/21/2022,36,High OA,B,1.73,1730
9/21/2022,36,High OA,B,1.75,1750
9/21/2022,36,High OA,B,1.76,1760
9/21/2022,36,High OA,B,1.79,1790
9/21/2022,36,High OA,B,1.8,1800
9/21/2022,36,High OA,B,1.81,1810
9/21/2022,36,High OA,B,1.82,1820
9/21/2022,36,High OA,B,1.83,1830
9/21/2022,36,High OA,B,1.86,1860
9/21/2022,36,High OA,B,1.93,1930
9/21/2022,36,High OA,B,1.94,1940
9/21/2022,36,High OA,B,1.95,1950
9/21/2022,36,High OA,B,1.96,1960
9/21/2022,36,High OA,C,0.98,980
9/21/2022,36,High OA,C,1.12,1120
9/21/2022,36,High OA,C,1.14,1140
9/21/2022,36,High OA,C,1.17,1170
9/21/2022,36,High OA,C,1.22,1220
9/21/2022,36,High OA,C,1.22,1220
9/21/2022,36,High OA,C,1.25,1250
9/21/2022,36,High OA,C,1.27,1270
9/21/2022,36,High OA,C,1.27,1270
9/21/2022,36,High OA,C,1.28,1280
9/21/2022,36,High OA,C,1.29,1290
9/21/2022,36,High OA,C,1.29,1290
9/21/2022,36,High OA,C,1.31,1310
9/21/2022,36,High OA,C,1.32,1320
9/21/2022,36,High OA,C,1.33,1330
9/21/2022,36,High OA,C,1.35,1350
9/21/2022,36,High OA,C,1.36,1360
9/21/2022,36,High OA,C,1.38,1380
9/21/2022,36,High OA,C,1.38,1380
9/21/2022,36,High OA,C,1.41,1410
9/21/2022,36,High OA,C,1.42,1420
9/21/2022,36,High OA,C,1.44,1440
9/21/2022,36,High OA,C,1.47,1470
9/21/2022,36,High OA,C,1.49,1490
9/21/2022,36,High OA,C,1.51,1510
9/21/2022,36,High OA,C,1.53,1530
9/21/2022,36,High OA,C,1.54,1540
9/21/2022,36,High OA,C,1.55,1550
9/21/2022,36,High OA,C,1.55,1550
9/21/2022,36,High OA,C,1.55,1550
9/21/2022,36,High OA,C,1.56,1560
9/21/2022,36,High OA,C,1.57,1570
9/21/2022,36,High OA,C,1.57,1570
9/21/2022,36,High OA,C,1.58,1580
9/21/2022,36,High OA,C,1.59,1590
9/21/2022,36,High OA,C,1.59,1590
9/21/2022,36,High OA,C,1.6,1600
9/21/2022,36,High OA,C,1.62,1620
9/21/2022,36,High OA,C,1.64,1640
9/21/2022,36,High OA,C,1.64,1640
9/21/2022,36,High OA,C,1.65,1650
9/21/2022,36,High OA,C,1.66,1660
9/21/2022,36,High OA,C,1.69,1690
9/21/2022,36,High OA,C,1.7,1700
9/21/2022,36,High OA,C,1.71,1710
9/21/2022,36,High OA,C,1.72,1720
9/21/2022,36,High OA,C,1.73,1730
9/21/2022,36,High OA,C,1.74,1740
9/21/2022,36,High OA,C,1.74,1740
9/21/2022,36,High OA,C,1.75,1750
9/21/2022,36,High OA,C,1.75,1750
9/21/2022,36,High OA,C,1.77,1770
9/21/2022,36,High OA,C,1.77,1770
9/21/2022,36,High OA,C,1.78,1780
9/21/2022,36,High OA,C,1.78,1780
9/21/2022,36,High OA,C,1.81,1810
9/21/2022,36,High OA,C,1.82,1820
9/21/2022,36,High OA,C,1.83,1830
9/21/2022,36,High OA,C,1.84,1840
9/21/2022,36,High OA,C,1.85,1850
9/21/2022,36,High OA,C,1.85,1850
9/21/2022,36,High OA,C,1.86,1860
9/21/2022,36,High OA,C,1.9,1900
9/21/2022,36,High OA,C,1.9,1900
9/21/2022,36,High OA,C,1.95,1950
9/21/2022,36,High OA,C,2.01,2010
9/21/2022,36,High OA,C,2.07,2070
9/21/2022,36,High OA,D,0.92,920
9/21/2022,36,High OA,D,0.93,930
9/21/2022,36,High OA,D,0.95,950
9/21/2022,36,High OA,D,1.17,1170
9/21/2022,36,High OA,D,1.18,1180
9/21/2022,36,High OA,D,1.18,1180
9/21/2022,36,High OA,D,1.22,1220
9/21/2022,36,High OA,D,1.28,1280
9/21/2022,36,High OA,D,1.32,1320
9/21/2022,36,High OA,D,1.33,1330
9/21/2022,36,High OA,D,1.34,1340
9/21/2022,36,High OA,D,1.34,1340
9/21/2022,36,High OA,D,1.35,1350
9/21/2022,36,High OA,D,1.37,1370
9/21/2022,36,High OA,D,1.4,1400
9/21/2022,36,High OA,D,1.44,1440
9/21/2022,36,High OA,D,1.44,1440
9/21/2022,36,High OA,D,1.45,1450
9/21/2022,36,High OA,D,1.52,1520
9/21/2022,36,High OA,D,1.52,1520
9/21/2022,36,High OA,D,1.54,1540
9/21/2022,36,High OA,D,1.55,1550
9/21/2022,36,High OA,D,1.55,1550
9/21/2022,36,High OA,D,1.57,1570
9/21/2022,36,High OA,D,1.59,1590
9/21/2022,36,High OA,D,1.6,1600
9/21/2022,36,High OA,D,1.6,1600
9/21/2022,36,High OA,D,1.62,1620
9/21/2022,36,High OA,D,1.62,1620
9/21/2022,36,High OA,D,1.63,1630
9/21/2022,36,High OA,D,1.66,1660
9/21/2022,36,High OA,D,1.67,1670
9/21/2022,36,High OA,D,1.68,1680
9/21/2022,36,High OA,D,1.7,1700
9/21/2022,36,High OA,D,1.7,1700
9/21/2022,36,High OA,D,1.74,1740
9/21/2022,36,High OA,D,1.74,1740
9/21/2022,36,High OA,D,1.77,1770
9/21/2022,36,High OA,D,1.78,1780
9/21/2022,36,High OA,D,1.79,1790
9/21/2022,36,High OA,D,1.87,1870
9/21/2022,36,High OA,D,1.88,1880
9/21/2022,36,High OA,D,1.88,1880
9/21/2022,36,High OA,D,1.9,1900
9/21/2022,36,High OA,D,1.9,1900
9/21/2022,36,High OA,D,1.91,1910
9/21/2022,36,High OA,D,1.92,1920
9/21/2022,36,High OA,D,1.95,1950
9/21/2022,36,High OA,D,2,2000
9/21/2022,36,High OA,D,2.03,2030
9/21/2022,36,High OA,D,2.1,2100
9/21/2022,36,Low OA,D,0.68,680
9/21/2022,36,Low OA,D,0.83,830
9/21/2022,36,Low OA,D,0.85,850
9/21/2022,36,Low OA,D,0.86,860
9/21/2022,36,Low OA,D,0.9,900
9/21/2022,36,Low OA,D,0.98,980
9/21/2022,36,Low OA,D,1.06,1060
9/21/2022,36,Low OA,D,1.09,1090
9/21/2022,36,Low OA,D,1.11,1110
9/21/2022,36,Low OA,D,1.14,1140
9/21/2022,36,Low OA,D,1.14,1140
9/21/2022,36,Low OA,D,1.14,1140
9/21/2022,36,Low OA,D,1.14,1140
9/21/2022,36,Low OA,D,1.19,1190
9/21/2022,36,Low OA,D,1.26,1260
9/21/2022,36,Low OA,D,1.27,1270
9/21/2022,36,Low OA,D,1.3,1300
9/21/2022,36,Low OA,D,1.3,1300
9/21/2022,36,Low OA,D,1.31,1310
9/21/2022,36,Low OA,D,1.32,1320
9/21/2022,36,Low OA,D,1.35,1350
9/21/2022,36,Low OA,D,1.36,1360
9/21/2022,36,Low OA,D,1.4,1400
9/21/2022,36,Low OA,D,1.41,1410
9/21/2022,36,Low OA,D,1.43,1430
9/21/2022,36,Low OA,D,1.5,1500
9/21/2022,36,Low OA,D,1.52,1520
9/21/2022,36,Low OA,D,1.54,1540
9/21/2022,36,Low OA,D,1.54,1540
9/21/2022,36,Low OA,D,1.55,1550
9/21/2022,36,Low OA,D,1.59,1590
9/21/2022,36,Low OA,D,1.62,1620
9/21/2022,36,Low OA,D,1.62,1620
9/21/2022,36,Low OA,D,1.62,1620
9/21/2022,36,Low OA,D,1.64,1640
9/21/2022,36,Low OA,D,1.67,1670
9/21/2022,36,Low OA,D,1.67,1670
9/21/2022,36,Low OA,D,1.67,1670
9/21/2022,36,Low OA,D,1.68,1680
9/21/2022,36,Low OA,D,1.7,1700
9/21/2022,36,Low OA,D,1.74,1740
9/21/2022,36,Low OA,D,1.76,1760
9/21/2022,36,Low OA,D,1.77,1770
9/21/2022,36,Low OA,D,1.79,1790
9/21/2022,36,Low OA,D,1.81,1810
9/21/2022,36,Low OA,D,1.84,1840
9/21/2022,36,Low OA,D,1.89,1890
9/21/2022,36,Low OA,D,1.92,1920
9/21/2022,36,Low OA,D,1.94,1940
9/21/2022,36,Low OA,D,1.96,1960
9/21/2022,36,Low OA,D,1.98,1980
9/21/2022,36,Low OA,D,2.03,2030
9/21/2022,36,Low OA,A,1.15,1150
9/21/2022,36,Low OA,A,1.15,1150
9/21/2022,36,Low OA,A,1.16,1160
9/21/2022,36,Low OA,A,1.17,1170
9/21/2022,36,Low OA,A,1.25,1250
9/21/2022,36,Low OA,A,1.35,1350
9/21/2022,36,Low OA,A,1.46,1460
9/21/2022,36,Low OA,A,1.5,1500
9/21/2022,36,Low OA,A,1.56,1560
9/21/2022,36,Low OA,A,1.57,1570
9/21/2022,36,Low OA,A,1.59,1590
9/21/2022,36,Low OA,A,1.59,1590
9/21/2022,36,Low OA,A,1.6,1600
9/21/2022,36,Low OA,A,1.66,1660
9/21/2022,36,Low OA,A,1.69,1690
9/21/2022,36,Low OA,A,1.7,1700
9/21/2022,36,Low OA,A,1.75,1750
9/21/2022,36,Low OA,A,1.84,1840
9/21/2022,36,Low OA,A,1.85,1850
9/21/2022,36,Low OA,A,1.9,1900
9/21/2022,36,Low OA,A,1.92,1920
9/21/2022,36,Low OA,A,1.99,1990
9/21/2022,36,Low OA,A,2.1,2100
9/21/2022,36,Low OA,A,2.14,2140
9/21/2022,36,Low OA,A,2.15,2150
9/21/2022,36,Low OA,B,0.63,630
9/21/2022,36,Low OA,B,1.22,1220
9/21/2022,36,Low OA,B,1.23,1230
9/21/2022,36,Low OA,B,1.25,1250
9/21/2022,36,Low OA,B,1.25,1250
9/21/2022,36,Low OA,B,1.27,1270
9/21/2022,36,Low OA,B,1.27,1270
9/21/2022,36,Low OA,B,1.3,1300
9/21/2022,36,Low OA,B,1.31,1310
9/21/2022,36,Low OA,B,1.33,1330
9/21/2022,36,Low OA,B,1.34,1340
9/21/2022,36,Low OA,B,1.39,1390
9/21/2022,36,Low OA,B,1.39,1390
9/21/2022,36,Low OA,B,1.44,1440
9/21/2022,36,Low OA,B,1.46,1460
9/21/2022,36,Low OA,B,1.51,1510
9/21/2022,36,Low OA,B,1.51,1510
9/21/2022,36,Low OA,B,1.52,1520
9/21/2022,36,Low OA,B,1.53,1530
9/21/2022,36,Low OA,B,1.54,1540
9/21/2022,36,Low OA,B,1.54,1540
9/21/2022,36,Low OA,B,1.54,1540
9/21/2022,36,Low OA,B,1.57,1570
9/21/2022,36,Low OA,B,1.58,1580
9/21/2022,36,Low OA,B,1.64,1640
9/21/2022,36,Low OA,B,1.64,1640
9/21/2022,36,Low OA,B,1.65,1650
9/21/2022,36,Low OA,B,1.67,1670
9/21/2022,36,Low OA,B,1.68,1680
9/21/2022,36,Low OA,B,1.7,1700
9/21/2022,36,Low OA,B,1.71,1710
9/21/2022,36,Low OA,B,1.71,1710
9/21/2022,36,Low OA,B,1.72,1720
9/21/2022,36,Low OA,B,1.74,1740
9/21/2022,36,Low OA,B,1.75,1750
9/21/2022,36,Low OA,B,1.76,1760
9/21/2022,36,Low OA,B,1.78,1780
9/21/2022,36,Low OA,B,1.78,1780
9/21/2022,36,Low OA,B,1.8,1800
9/21/2022,36,Low OA,B,1.84,1840
9/21/2022,36,Low OA,B,1.86,1860
9/21/2022,36,Low OA,B,1.89,1890
9/21/2022,36,Low OA,B,1.93,1930
9/21/2022,36,Low OA,B,2.08,2080
9/21/2022,36,Low OA,B,2.09,2090
9/21/2022,36,Low OA,B,2.22,2220
9/21/2022,36,Low OA,B,2.23,2230
9/21/2022,36,Low OA,C,0.91,910
9/21/2022,36,Low OA,C,0.96,960
9/21/2022,36,Low OA,C,0.97,970
9/21/2022,36,Low OA,C,1,1000
9/21/2022,36,Low OA,C,1.11,1110
9/21/2022,36,Low OA,C,1.12,1120
9/21/2022,36,Low OA,C,1.15,1150
9/21/2022,36,Low OA,C,1.17,1170
9/21/2022,36,Low OA,C,1.19,1190
9/21/2022,36,Low OA,C,1.2,1200
9/21/2022,36,Low OA,C,1.24,1240
9/21/2022,36,Low OA,C,1.24,1240
9/21/2022,36,Low OA,C,1.25,1250
9/21/2022,36,Low OA,C,1.25,1250
9/21/2022,36,Low OA,C,1.26,1260
9/21/2022,36,Low OA,C,1.28,1280
9/21/2022,36,Low OA,C,1.3,1300
9/21/2022,36,Low OA,C,1.32,1320
9/21/2022,36,Low OA,C,1.33,1330
9/21/2022,36,Low OA,C,1.36,1360
9/21/2022,36,Low OA,C,1.36,1360
9/21/2022,36,Low OA,C,1.36,1360
9/21/2022,36,Low OA,C,1.41,1410
9/21/2022,36,Low OA,C,1.41,1410
9/21/2022,36,Low OA,C,1.42,1420
9/21/2022,36,Low OA,C,1.51,1510
9/21/2022,36,Low OA,C,1.54,1540
9/21/2022,36,Low OA,C,1.54,1540
9/21/2022,36,Low OA,C,1.55,1550
9/21/2022,36,Low OA,C,1.58,1580
9/21/2022,36,Low OA,C,1.63,1630
9/21/2022,36,Low OA,C,1.64,1640
9/21/2022,36,Low OA,C,1.65,1650
9/21/2022,36,Low OA,C,1.65,1650
9/21/2022,36,Low OA,C,1.67,1670
9/21/2022,36,Low OA,C,1.69,1690
9/21/2022,36,Low OA,C,1.75,1750
9/21/2022,36,Low OA,C,1.78,1780
9/21/2022,36,Low OA,C,1.82,1820
9/21/2022,36,Low OA,C,1.87,1870
9/21/2022,36,Low OA,C,1.93,1930
9/21/2022,36,Low OA,C,2.01,2010
9/21/2022,36,Low OA,C,2.02,2020
9/21/2022,36,Moderate OA,A,0.85,850
9/21/2022,36,Moderate OA,A,0.95,950
9/21/2022,36,Moderate OA,A,0.96,960
9/21/2022,36,Moderate OA,A,1.01,1010
9/21/2022,36,Moderate OA,A,1.07,1070
9/21/2022,36,Moderate OA,A,1.07,1070
9/21/2022,36,Moderate OA,A,1.1,1100
9/21/2022,36,Moderate OA,A,1.11,1110
9/21/2022,36,Moderate OA,A,1.13,1130
9/21/2022,36,Moderate OA,A,1.14,1140
9/21/2022,36,Moderate OA,A,1.17,1170
9/21/2022,36,Moderate OA,A,1.18,1180
9/21/2022,36,Moderate OA,A,1.19,1190
9/21/2022,36,Moderate OA,A,1.19,1190
9/21/2022,36,Moderate OA,A,1.21,1210
9/21/2022,36,Moderate OA,A,1.22,1220
9/21/2022,36,Moderate OA,A,1.22,1220
9/21/2022,36,Moderate OA,A,1.23,1230
9/21/2022,36,Moderate OA,A,1.26,1260
9/21/2022,36,Moderate OA,A,1.28,1280
9/21/2022,36,Moderate OA,A,1.28,1280
9/21/2022,36,Moderate OA,A,1.31,1310
9/21/2022,36,Moderate OA,A,1.33,1330
9/21/2022,36,Moderate OA,A,1.33,1330
9/21/2022,36,Moderate OA,A,1.33,1330
9/21/2022,36,Moderate OA,A,1.33,1330
9/21/2022,36,Moderate OA,A,1.35,1350
9/21/2022,36,Moderate OA,A,1.36,1360
9/21/2022,36,Moderate OA,A,1.37,1370
9/21/2022,36,Moderate OA,A,1.37,1370
9/21/2022,36,Moderate OA,A,1.37,1370
9/21/2022,36,Moderate OA,A,1.41,1410
9/21/2022,36,Moderate OA,A,1.41,1410
9/21/2022,36,Moderate OA,A,1.42,1420
9/21/2022,36,Moderate OA,A,1.43,1430
9/21/2022,36,Moderate OA,A,1.47,1470
9/21/2022,36,Moderate OA,A,1.47,1470
9/21/2022,36,Moderate OA,A,1.49,1490
9/21/2022,36,Moderate OA,A,1.51,1510
9/21/2022,36,Moderate OA,A,1.53,1530
9/21/2022,36,Moderate OA,A,1.53,1530
9/21/2022,36,Moderate OA,A,1.54,1540
9/21/2022,36,Moderate OA,A,1.55,1550
9/21/2022,36,Moderate OA,A,1.55,1550
9/21/2022,36,Moderate OA,A,1.56,1560
9/21/2022,36,Moderate OA,A,1.59,1590
9/21/2022,36,Moderate OA,A,1.61,1610
9/21/2022,36,Moderate OA,A,1.63,1630
9/21/2022,36,Moderate OA,A,1.64,1640
9/21/2022,36,Moderate OA,A,1.64,1640
9/21/2022,36,Moderate OA,A,1.68,1680
9/21/2022,36,Moderate OA,A,1.72,1720
9/21/2022,36,Moderate OA,A,1.75,1750
9/21/2022,36,Moderate OA,A,1.75,1750
9/21/2022,36,Moderate OA,A,1.76,1760
9/21/2022,36,Moderate OA,A,1.77,1770
9/21/2022,36,Moderate OA,A,1.78,1780
9/21/2022,36,Moderate OA,A,1.8,1800
9/21/2022,36,Moderate OA,B,1.07,1070
9/21/2022,36,Moderate OA,B,1.13,1130
9/21/2022,36,Moderate OA,B,1.14,1140
9/21/2022,36,Moderate OA,B,1.15,1150
9/21/2022,36,Moderate OA,B,1.26,1260
9/21/2022,36,Moderate OA,B,1.3,1300
9/21/2022,36,Moderate OA,B,1.31,1310
9/21/2022,36,Moderate OA,B,1.35,1350
9/21/2022,36,Moderate OA,B,1.35,1350
9/21/2022,36,Moderate OA,B,1.37,1370
9/21/2022,36,Moderate OA,B,1.42,1420
9/21/2022,36,Moderate OA,B,1.44,1440
9/21/2022,36,Moderate OA,B,1.45,1450
9/21/2022,36,Moderate OA,B,1.46,1460
9/21/2022,36,Moderate OA,B,1.47,1470
9/21/2022,36,Moderate OA,B,1.49,1490
9/21/2022,36,Moderate OA,B,1.5,1500
9/21/2022,36,Moderate OA,B,1.5,1500
9/21/2022,36,Moderate OA,B,1.51,1510
9/21/2022,36,Moderate OA,B,1.51,1510
9/21/2022,36,Moderate OA,B,1.52,1520
9/21/2022,36,Moderate OA,B,1.53,1530
9/21/2022,36,Moderate OA,B,1.54,1540
9/21/2022,36,Moderate OA,B,1.54,1540
9/21/2022,36,Moderate OA,B,1.54,1540
9/21/2022,36,Moderate OA,B,1.54,1540
9/21/2022,36,Moderate OA,B,1.55,1550
9/21/2022,36,Moderate OA,B,1.56,1560
9/21/2022,36,Moderate OA,B,1.59,1590
9/21/2022,36,Moderate OA,B,1.59,1590
9/21/2022,36,Moderate OA,B,1.64,1640
9/21/2022,36,Moderate OA,B,1.64,1640
9/21/2022,36,Moderate OA,B,1.64,1640
9/21/2022,36,Moderate OA,B,1.69,1690
9/21/2022,36,Moderate OA,B,1.69,1690
9/21/2022,36,Moderate OA,B,1.73,1730
9/21/2022,36,Moderate OA,B,1.73,1730
9/21/2022,36,Moderate OA,B,1.75,1750
9/21/2022,36,Moderate OA,B,1.83,1830
9/21/2022,36,Moderate OA,B,1.83,1830
9/21/2022,36,Moderate OA,B,1.87,1870
9/21/2022,36,Moderate OA,C,0.95,950
9/21/2022,36,Moderate OA,C,1.09,1090
9/21/2022,36,Moderate OA,C,1.1,1100
9/21/2022,36,Moderate OA,C,1.11,1110
9/21/2022,36,Moderate OA,C,1.12,1120
9/21/2022,36,Moderate OA,C,1.17,1170
9/21/2022,36,Moderate OA,C,1.22,1220
9/21/2022,36,Moderate OA,C,1.3,1300
9/21/2022,36,Moderate OA,C,1.31,1310
9/21/2022,36,Moderate OA,C,1.32,1320
9/21/2022,36,Moderate OA,C,1.32,1320
9/21/2022,36,Moderate OA,C,1.35,1350
9/21/2022,36,Moderate OA,C,1.37,1370
9/21/2022,36,Moderate OA,C,1.4,1400
9/21/2022,36,Moderate OA,C,1.44,1440
9/21/2022,36,Moderate OA,C,1.44,1440
9/21/2022,36,Moderate OA,C,1.45,1450
9/21/2022,36,Moderate OA,C,1.46,1460
9/21/2022,36,Moderate OA,C,1.46,1460
9/21/2022,36,Moderate OA,C,1.46,1460
9/21/2022,36,Moderate OA,C,1.47,1470
9/21/2022,36,Moderate OA,C,1.48,1480
9/21/2022,36,Moderate OA,C,1.48,1480
9/21/2022,36,Moderate OA,C,1.5,1500
9/21/2022,36,Moderate OA,C,1.5,1500
9/21/2022,36,Moderate OA,C,1.51,1510
9/21/2022,36,Moderate OA,C,1.52,1520
9/21/2022,36,Moderate OA,C,1.52,1520
9/21/2022,36,Moderate OA,C,1.54,1540
9/21/2022,36,Moderate OA,C,1.57,1570
9/21/2022,36,Moderate OA,C,1.58,1580
9/21/2022,36,Moderate OA,C,1.59,1590
9/21/2022,36,Moderate OA,C,1.59,1590
9/21/2022,36,Moderate OA,C,1.6,1600
9/21/2022,36,Moderate OA,C,1.61,1610
9/21/2022,36,Moderate OA,C,1.63,1630
9/21/2022,36,Moderate OA,C,1.64,1640
9/21/2022,36,Moderate OA,C,1.65,1650
9/21/2022,36,Moderate OA,C,1.66,1660
9/21/2022,36,Moderate OA,C,1.66,1660
9/21/2022,36,Moderate OA,C,1.67,1670
9/21/2022,36,Moderate OA,C,1.68,1680
9/21/2022,36,Moderate OA,C,1.69,1690
9/21/2022,36,Moderate OA,C,1.7,1700
9/21/2022,36,Moderate OA,C,1.71,1710
9/21/2022,36,Moderate OA,C,1.71,1710
9/21/2022,36,Moderate OA,C,1.72,1720
9/21/2022,36,Moderate OA,C,1.74,1740
9/21/2022,36,Moderate OA,C,1.74,1740
9/21/2022,36,Moderate OA,C,1.76,1760
9/21/2022,36,Moderate OA,C,1.77,1770
9/21/2022,36,Moderate OA,C,1.78,1780
9/21/2022,36,Moderate OA,C,1.81,1810
9/21/2022,36,Moderate OA,C,1.81,1810
9/21/2022,36,Moderate OA,C,1.85,1850
9/21/2022,36,Moderate OA,C,1.9,1900
9/21/2022,36,Moderate OA,D,0.99,990
9/21/2022,36,Moderate OA,D,1.12,1120
9/21/2022,36,Moderate OA,D,1.13,1130
9/21/2022,36,Moderate OA,D,1.15,1150
9/21/2022,36,Moderate OA,D,1.17,1170
9/21/2022,36,Moderate OA,D,1.21,1210
9/21/2022,36,Moderate OA,D,1.22,1220
9/21/2022,36,Moderate OA,D,1.24,1240
9/21/2022,36,Moderate OA,D,1.25,1250
9/21/2022,36,Moderate OA,D,1.29,1290
9/21/2022,36,Moderate OA,D,1.34,1340
9/21/2022,36,Moderate OA,D,1.34,1340
9/21/2022,36,Moderate OA,D,1.34,1340
9/21/2022,36,Moderate OA,D,1.36,1360
9/21/2022,36,Moderate OA,D,1.37,1370
9/21/2022,36,Moderate OA,D,1.41,1410
9/21/2022,36,Moderate OA,D,1.41,1410
9/21/2022,36,Moderate OA,D,1.42,1420
9/21/2022,36,Moderate OA,D,1.44,1440
9/21/2022,36,Moderate OA,D,1.45,1450
9/21/2022,36,Moderate OA,D,1.47,1470
9/21/2022,36,Moderate OA,D,1.53,1530
9/21/2022,36,Moderate OA,D,1.54,1540
9/21/2022,36,Moderate OA,D,1.57,1570
9/21/2022,36,Moderate OA,D,1.6,1600
9/21/2022,36,Moderate OA,D,1.6,1600
9/21/2022,36,Moderate OA,D,1.61,1610
9/21/2022,36,Moderate OA,D,1.62,1620
9/21/2022,36,Moderate OA,D,1.62,1620
9/21/2022,36,Moderate OA,D,1.63,1630
9/21/2022,36,Moderate OA,D,1.63,1630
9/21/2022,36,Moderate OA,D,1.63,1630
9/21/2022,36,Moderate OA,D,1.63,1630
9/21/2022,36,Moderate OA,D,1.63,1630
9/21/2022,36,Moderate OA,D,1.64,1640
9/21/2022,36,Moderate OA,D,1.65,1650
9/21/2022,36,Moderate OA,D,1.66,1660
9/21/2022,36,Moderate OA,D,1.66,1660
9/21/2022,36,Moderate OA,D,1.68,1680
9/21/2022,36,Moderate OA,D,1.68,1680
9/21/2022,36,Moderate OA,D,1.69,1690
9/21/2022,36,Moderate OA,D,1.69,1690
9/21/2022,36,Moderate OA,D,1.69,1690
9/21/2022,36,Moderate OA,D,1.7,1700
9/21/2022,36,Moderate OA,D,1.7,1700
9/21/2022,36,Moderate OA,D,1.72,1720
9/21/2022,36,Moderate OA,D,1.73,1730
9/21/2022,36,Moderate OA,D,1.74,1740
9/21/2022,36,Moderate OA,D,1.75,1750
9/21/2022,36,Moderate OA,D,1.77,1770
9/21/2022,36,Moderate OA,D,1.77,1770
9/21/2022,36,Moderate OA,D,1.78,1780
9/21/2022,36,Moderate OA,D,1.79,1790
9/21/2022,36,Moderate OA,D,1.79,1790
9/21/2022,36,Moderate OA,D,1.81,1810
9/21/2022,36,Moderate OA,D,1.81,1810
9/21/2022,36,Moderate OA,D,1.82,1820
9/21/2022,36,Moderate OA,D,1.9,1900
9/21/2022,36,Moderate OA,D,1.93,1930
9/21/2022,36,Moderate OA,D,1.94,1940
9/21/2022,36,Moderate OA,D,1.96,1960
10/5/2022,50,High OA,A,1.77,1770
10/5/2022,50,High OA,A,1.88,1880
